index,start_date,lat,lon,P0.1_N1_Q0.1_V[ALL]_C20
7,2003-06-01,19.6795,-155.79903,1
14,2003-06-01,21.32913,-158.08727,1
17,2003-06-01,19.83736,-155.10158,1
25,2003-06-01,13.43787,144.69498,1
26,2003-06-01,7.49447,134.51651,1
34,2003-06-01,0.61878,128.18423,1
41,2003-06-01,2.48924,128.53255,1
75,2003-06-01,7.18326,126.29048,1
83,2003-06-01,7.11801,126.05241,1
84,2003-06-01,6.13935,125.65533,1
91,2003-06-01,7.77949,126.1156,1
112,2003-06-01,8.13055,125.83765,1
137,2003-06-01,6.09609,124.81245,3
142,2003-06-01,8.47834,125.55775,1
152,2003-06-01,6.01938,124.57794,1
153,2003-06-01,0.86404,122.75452,1
183,2003-06-01,0.67067,122.31132,1
185,2003-06-01,9.71795,125.43605,1
190,2003-06-01,7.77233,124.64095,1
191,2003-06-01,7.52578,124.54375,1
209,2003-06-01,0.73941,121.95436,1
223,2003-06-01,1.07295,121.6813,1
225,2003-06-01,0.53362,121.51308,1
232,2003-06-01,0.69905,121.37634,1
242,2003-06-01,8.11756,123.73778,1
255,2003-06-01,9.75935,124.1752,1
260,2003-06-01,7.53473,123.31063,1
267,2003-06-01,11.85389,124.83087,1
269,2003-06-01,9.92453,124.03024,1
299,2003-06-01,35.26666,140.3828,0
303,2003-06-01,9.1843,123.11134,1
304,2003-06-01,7.93528,122.64238,1
330,2003-06-01,12.1935,123.88918,1
356,2003-06-01,10.65336,123.05347,1
358,2003-06-01,10.16098,122.86187,1
359,2003-06-01,9.91373,122.76681,1
383,2003-06-01,36.72474,140.16225,1
406,2003-06-01,37.40054,140.5853,0
419,2003-06-01,35.26069,138.12213,0
427,2003-06-01,11.37443,122.70316,1
428,2003-06-01,11.1289,122.60728,1
436,2003-06-01,37.11081,139.83795,0
442,2003-06-01,36.12289,138.69705,2
448,2003-06-01,35.10822,137.59471,0
455,2003-06-01,11.53144,122.5532,13
465,2003-06-01,37.78785,140.26003,0
468,2003-06-01,37.30291,139.67416,0
495,2003-06-01,1.00641,118.86716,1
505,2003-06-01,37.98058,140.0957,0
506,2003-06-01,37.81928,139.89909,0
521,2003-06-01,35.30959,137.08257,1
528,2003-06-01,33.90434,135.67802,0
538,2003-06-01,39.28292,141.34019,0
545,2003-06-01,38.17268,139.93024,2
547,2003-06-01,37.84848,139.53777,0
553,2003-06-01,36.85765,138.38739,0
564,2003-06-01,34.97226,136.38036,0
574,2003-06-01,1.03258,118.50776,1
577,2003-06-01,39.63329,141.38156,0
584,2003-06-01,38.52555,139.96179,0
586,2003-06-01,38.20203,139.56665,0
596,2003-06-01,36.53906,137.65889,0
617,2003-06-01,39.98313,141.42348,0
635,2003-06-01,35.51472,136.21887,0
648,2003-06-01,40.1773,141.25661,0
661,2003-06-01,35.87294,136.22633,0
670,2003-06-01,33.90434,134.32198,0
681,2003-06-01,43.18458,145.2869,1
682,2003-06-01,40.52645,141.29813,0
683,2003-06-01,40.37086,141.08853,0
685,2003-06-01,40.05725,140.67302,0
700,2003-06-01,34.26524,134.31793,1
713,2003-06-01,46.00672,150.06848,1
724,2003-06-01,40.40696,140.71059,0
727,2003-06-01,39.93164,140.09212,1
740,2003-06-01,33.52048,133.31532,0
742,2003-06-01,33.1468,132.99045,0
758,2003-06-01,0.93855,117.5714,1
762,2003-06-01,52.17063,-174.4278,1
774,2003-06-01,42.43258,143.1301,0
784,2003-06-01,35.16678,134.48071,0
785,2003-06-01,34.98525,134.30972,0
810,2003-06-01,1.64342,117.57775,1
823,2003-06-01,42.92421,143.41234,0
828,2003-06-01,41.26096,140.9989,1
840,2003-06-01,33.87015,132.96669,0
859,2003-06-01,5.073,118.35729,1
863,2003-06-01,2.06671,117.509,1
867,2003-06-01,0.94875,117.21203,1
881,2003-06-01,41.13896,140.40379,1
890,2003-06-01,32.90825,131.82942,0
893,2003-06-01,32.3317,131.36182,0
895,2003-06-01,31.94414,131.05481,0
901,2003-06-01,16.3591,122.125,1
905,2003-06-01,14.18683,121.24693,1
910,2003-06-01,12.95731,120.77753,1
914,2003-06-01,4.94835,118.13134,1
923,2003-06-01,1.09291,117.06889,1
939,2003-06-01,35.14726,133.44249,0
947,2003-06-01,32.69456,131.34071,0
953,2003-06-01,31.52595,130.42607,1
954,2003-06-01,31.32897,130.27689,1
971,2003-06-01,4.82195,117.90593,1
972,2003-06-01,4.55096,117.82818,1
976,2003-06-01,3.45911,117.52112,1
983,2003-06-01,1.23618,116.9254,1
1001,2003-06-01,41.51928,140.05383,1
1003,2003-06-01,35.13641,133.09662,0
1026,2003-06-01,15.69651,121.41187,1
1027,2003-06-01,15.45481,121.31487,1
1036,2003-06-01,11.7515,119.92213,1
1039,2003-06-01,5.77328,117.99339,1
1054,2003-06-01,1.65939,116.85442,3
1063,2003-06-01,43.70929,142.72864,0
1075,2003-06-01,35.12339,132.75087,0
1090,2003-06-01,17.99212,122.14766,1
1094,2003-06-01,17.04343,121.74413,1
1098,2003-06-01,16.08475,121.34958,1
1100,2003-06-01,15.60164,121.15559,1
1105,2003-06-01,10.88268,119.4156,1
1112,2003-06-01,5.10684,117.61075,1
1118,2003-06-01,3.46844,117.15343,1
1122,2003-06-01,2.36007,116.85626,3
1131,2003-06-01,44.34706,143.24632,1
1137,2003-06-01,43.45339,141.87482,0
1158,2003-06-01,17.90355,121.88356,1
1162,2003-06-01,16.95161,121.48343,1
1169,2003-06-01,15.26165,120.80451,1
1180,2003-06-01,4.15869,117.15723,1
1186,2003-06-01,2.50078,116.71084,3
1187,2003-06-01,2.2216,116.63776,3
1211,2003-06-01,42.40375,139.94408,0
1214,2003-06-01,34.13977,131.25385,0
1226,2003-06-01,16.85798,121.2233,1
1245,2003-06-01,4.84509,117.16109,1
1251,2003-06-01,3.19657,116.71178,1
1263,2003-06-01,53.43754,-168.05582,1
1277,2003-06-01,33.14309,130.13904,1
1282,2003-06-01,17.72096,121.35709,1
1283,2003-06-01,17.48228,121.25791,1
1291,2003-06-01,15.55053,120.48444,1
1294,2003-06-01,14.81576,120.20324,1
1301,2003-06-01,5.52774,117.16499,1
1307,2003-06-01,3.88839,116.71272,1
1312,2003-06-01,2.50034,116.34637,3
1313,2003-06-01,2.22026,116.27422,3
1321,2003-06-01,53.51503,-166.92442,1
1331,2003-06-01,33.11132,129.80557,0
1332,2003-06-01,18.34171,121.39305,1
1333,2003-06-01,18.10407,121.29304,1
1359,2003-06-01,3.19612,116.34496,1
1376,2003-06-01,51.60372,157.11647,0
1407,2003-06-01,3.88794,116.34355,3
1410,2003-06-01,3.05489,116.12545,3
1419,2003-06-01,0.51101,115.49088,3
1423,2003-06-01,52.18654,158.26318,1
1433,2003-06-01,17.91381,120.76664,1
1440,2003-06-01,8.61467,117.49284,1
1446,2003-06-01,5.3972,116.56505,1
1457,2003-06-01,2.35075,115.76427,3
1466,2003-06-01,54.09554,-165.96376,1
1468,2003-06-01,52.40771,158.13364,0
1470,2003-06-01,52.22779,157.48727,0
1482,2003-06-01,16.11845,119.83793,1
1499,2003-06-01,2.76715,115.68814,3
1504,2003-06-01,1.35373,115.3385,3
1556,2003-06-01,5.52907,116.04011,1
1560,2003-06-01,4.42863,115.74872,3
1567,2003-06-01,2.47237,115.25317,3
1574,2003-06-01,0.47553,114.77514,3
1580,2003-06-01,53.41893,159.06563,0
1585,2003-06-01,52.97844,157.40744,0
1591,2003-06-01,46.53537,142.33861,0
1597,2003-06-01,4.56164,115.59907,1
1599,2003-06-01,4.00663,115.45624,3
1609,2003-06-01,1.18295,114.76389,3
1610,2003-06-01,0.89597,114.69659,3
1620,2003-06-01,53.64052,158.93655,0
1659,2003-06-01,53.94683,159.14554,0
1661,2003-06-01,53.77538,158.4679,0
1662,2003-06-01,53.68767,158.13142,0
1669,2003-06-01,47.36236,142.69604,0
1684,2003-06-01,3.14993,114.87821,3
1688,2003-06-01,2.01701,114.60513,3
1689,2003-06-01,1.73171,114.53773,1
1698,2003-06-01,54.7288,161.4474,2
1710,2003-06-01,53.72738,157.32443,0
1715,2003-06-01,47.4069,142.26111,0
1768,2003-06-01,35.31393,128.39154,2
1771,2003-06-01,24.42157,121.78476,1
1779,2003-06-01,22.58,120.92892,1
1781,2003-06-01,22.11394,120.72142,1
1791,2003-06-01,2.27619,114.30933,1
1803,2003-06-01,55.09991,160.85187,0
1821,2003-06-01,36.65617,129.1304,0
1823,2003-06-01,36.26357,128.81561,0
1843,2003-06-01,22.48589,120.65067,3
1872,2003-06-01,54.91586,158.96249,0
1893,2003-06-01,36.02578,128.31068,0
1897,2003-06-01,35.22702,127.70306,0
1903,2003-06-01,24.9306,121.53885,1
1904,2003-06-01,24.70243,121.42957,1
1919,2003-06-01,3.10019,114.14554,1
1928,2003-06-01,0.51633,113.55603,3
1939,2003-06-01,55.38617,159.88741,0
1943,2003-06-01,55.05033,158.4774,2
1947,2003-06-01,54.69272,157.09422,2
1948,2003-06-01,54.59998,156.75273,0
1949,2003-06-01,54.50593,156.41296,0
1951,2003-06-01,49.62436,144.04466,0
1958,2003-06-01,43.46072,135.0,1
1959,2003-06-01,37.36482,129.05687,0
1962,2003-06-01,36.77622,128.58121,0
1986,2003-06-01,4.35391,114.26555,1
1988,2003-06-01,3.79194,114.12997,1
2010,2003-06-01,55.84635,160.83676,0
2022,2003-06-01,54.81722,156.60553,0
2027,2003-06-01,49.5334,143.32565,0
2032,2003-06-01,48.80425,142.04071,0
2057,2003-06-01,36.53685,128.07278,0
2069,2003-06-01,24.75077,120.96375,1
2080,2003-06-01,3.6355,113.91232,1
2084,2003-06-01,2.49856,113.64804,3
2099,2003-06-01,56.29606,161.81096,0
